Date,ls-ratio
2021-02-17,21.24
2021-02-18,23.45
2021-02-19,20.81
2021-02-20,18.73
2021-02-21,18.86
2021-02-22,22.82
2021-02-23,26.63
2021-02-24,25.04
2021-02-25,19.22
2021-02-26,16.86
2021-02-27,11.15
2021-02-28,11.71
2021-03-01,11.89
2021-03-02,12.94
2021-03-03,11.33
2021-03-04,9.5
2021-03-05,10.98
2021-03-06,12.65
2021-03-07,12.27
2021-03-08,11.9
2021-03-09,11.45
2021-03-10,13.46
2021-03-11,14.16
2021-03-12,14.65
2021-03-13,17.27
2021-03-14,15.68
2021-03-15,16.26
2021-03-16,17.75
2021-03-17,16.29
2021-03-18,18.21
2021-03-19,18.3
2021-03-20,17.93
2021-03-21,17.15
2021-03-22,17.32
2021-03-23,15.55
2021-03-24,19.25
2021-03-25,20.34
2021-03-26,21.18
2021-03-27,19.31
2021-03-28,19.15
2021-03-29,16.73
2021-03-30,15.26
2021-03-31,14.89
2021-04-01,16.08
2021-04-02,17.24
2021-04-03,18.86
2021-04-04,16.19
2021-04-05,16.07
2021-04-06,16.72
2021-04-07,25.91
2021-04-08,14.95
2021-04-09,15.12
2021-04-10,24.08
2021-04-11,24.63
2021-04-12,24.86
2021-04-13,15.36
2021-04-14,20.33
2021-04-15,18.02
2021-04-16,31.52
2021-04-17,47.58
2021-04-18,55.8
2021-04-19,44.79
2021-04-20,26.13
2021-04-21,14.19
2021-04-22,12.92
2021-04-23,13.99
2021-04-24,13.1
2021-04-25,9.27
2021-04-26,11.47
2021-04-27,12.46
2021-04-28,13.11
2021-04-29,13.46
2021-04-30,14.76
2021-05-01,15.91
2021-05-02,16.65
2021-05-03,39.65
2021-05-04,43.13
2021-05-05,33.06
2021-05-06,44.06
2021-05-07,55.92
2021-05-08,56.74
2021-05-09,34.38
2021-05-10,36.17
2021-05-11,25.58
2021-05-12,14.09
2021-05-13,14.74
2021-05-14,14.37
2021-05-15,11.26
2021-05-16,6.55
2021-05-17,2.42
2021-05-18,2.51
2021-05-19,13.85
2021-05-20,26.8
2021-05-21,18.99
2021-05-22,24.22
2021-05-23,17.63
2021-05-24,38.71
2021-05-25,46.09
2021-05-26,36.58
2021-05-27,41.96
2021-05-28,43.35
2021-05-29,46.1
2021-05-30,55.73
2021-05-31,54.68
2021-06-01,45.56
2021-06-02,38.11
2021-06-03,35.79
2021-06-04,36.98
2021-06-05,31.21
2021-06-06,9.19
2021-06-07,5.72
2021-06-08,5.73
2021-06-09,1.54
2021-06-10,1.5
2021-06-11,1.47
2021-06-12,1.49
2021-06-13,1.42
2021-06-14,1.14
2021-06-15,0.93
2021-06-16,0.92
2021-06-17,0.92
2021-06-18,1.13
2021-06-19,1.72
2021-06-20,4.14
2021-06-21,14.04
2021-06-22,14.22
2021-06-23,19.36
2021-06-24,22.2
2021-06-25,1.02
2021-06-26,1.56
2021-06-27,11.77
2021-06-28,14.18
2021-06-29,15.66
2021-06-30,18.08
2021-07-01,18.17
2021-07-02,17.88
2021-07-03,20
2021-07-04,21.61
2021-07-05,17.11
2021-07-06,17.1
2021-07-07,21.86
