Date,Momentum,,,,,
2020-09-23,-1.11,,,,,
2020-09-24,-0.64,,,,,
2020-09-25,-1.47,,,,,
2020-09-26,-1.23,,,,,
2020-09-27,-1.16,,,,,
2020-09-28,-0.47,,,,,
2020-09-29,-0.61,,,,,
2020-09-30,-0.8,,,,,
2020-10-01,-0.52,,,,,
2020-10-02,0.19,,,,,
2020-10-03,1.06,,,,,
2020-10-04,0.54,,,,,
2020-10-05,1.22,,,,,
2020-10-06,1.39,,,,,
2020-10-07,1.73,,,,,
2020-10-08,0.18,,,,,
2020-10-09,0.42,,,,,
2020-10-10,-0.49,,,,,
2020-10-11,-1.28,,,,,
2020-10-12,-1.25,,,,,
2020-10-13,-0.78,,,,,
2020-10-14,0.26,,,,,
2020-10-15,-0.02,,,,,
2020-10-16,0.27,,,,,
2020-10-17,0.13,,,,,
2020-10-18,0.57,,,,,
2020-10-19,0.1,,,,,
2020-10-20,1.08,,,,,
2020-10-21,0.12,,,,,
2020-10-22,-0.55,,,,,
2020-10-23,-0.03,,,,,
2020-10-24,-0.62,,,,,
2020-10-25,-0.39,,,,,
2020-10-26,-1.01,,,,,
2020-10-27,-1.37,,,,,
2020-10-28,-0.47,,,,,
2020-10-29,-0.04,,,,,
2020-10-30,-1.06,,,,,
2020-10-31,0.12,,,,,
2020-11-01,0.45,,,,,
2020-11-02,0.39,,,,,
2020-11-03,0.22,,,,,
2020-11-04,0.08,,,,,
2020-11-05,-0.54,,,,,
2020-11-06,0.22,,,,,
2020-11-07,0.19,,,,,
2020-11-08,-0.3,,,,,
2020-11-09,0.18,,,,,
2020-11-10,0.27,,,,,
2020-11-11,-1.38,,,,,
2020-11-12,-0.53,,,,,
2020-11-13,-0.07,,,,,
2020-11-14,0.77,,,,,
2020-11-15,-0.79,,,,,
2020-11-16,-1.05,,,,,
2020-11-17,0.6,,,,,
2020-11-18,0.17,,,,,
2020-11-19,-0.36,,,,,
2020-11-20,-2.08,,,,,
2020-11-21,-0.1,,,,,
2020-11-22,-1.07,,,,,
2020-11-23,-1.42,,,,,
2020-11-24,-1.42,,,,,
2020-11-25,0.59,,,,,
2020-11-26,2.77,,,,,
2020-11-27,1.84,,,,,
2020-11-28,-0.78,,,,,
2020-11-29,-0.28,,,,,
2020-11-30,-1.71,,,,,
2020-12-01,2.88,,,,,
2020-12-02,0.97,,,,,
2020-12-03,1.43,,,,,
2020-12-04,3,,,,,
2020-12-05,-0.44,,,,,
2020-12-06,-1.58,,,,,
2020-12-07,-0.57,,,,,
2020-12-08,1.25,,,,,
2020-12-09,0.99,,,,,
2020-12-10,3.04,,,,,
2020-12-11,-0.72,,,,,
2020-12-12,0.39,,,,,
2020-12-13,-0.52,,,,,
2020-12-14,-2.14,,,,,
2020-12-15,-0.52,,,,,
2020-12-16,-1.61,,,,,
2020-12-17,-1.34,,,,,
2020-12-18,-1.73,,,,,
2020-12-19,-0.6,,,,,
2020-12-20,-0.14,,,,,
2020-12-21,1.27,,,,,
2020-12-22,1.15,,,,,
2020-12-23,3.33,,,,,
