Date,disparity
2021-04-24,97.12488179
2021-04-25,97.82931799
2021-04-26,95.88023266
2021-04-27,104.2236593
2021-04-28,104.6583766
2021-04-29,102.9468334
2021-04-30,97.3321428
2021-05-01,103.4345763
2021-05-02,103.0436673
2021-05-03,100.0482958
2021-05-04,101.1769558
2021-05-05,94.279328
2021-05-06,102.2140327
2021-05-07,100.1274385
2021-05-08,101.217583
2021-05-09,102.1421425
2021-05-10,101.6066862
2021-05-11,97.30947152
2021-05-12,101.7297359
2021-05-13,92.21761461
2021-05-14,95.06461678
2021-05-15,98.83647775
2021-05-16,96.53653384
2021-05-17,98.19294122
2021-05-18,94.72719024
2021-05-19,99.10427925
2021-05-20,87.22291112
2021-05-21,100.7184599
2021-05-22,95.56053404
2021-05-23,100.1388283
2021-05-24,91.75105392
2021-05-25,103.8875282
2021-05-26,101.7240816
2021-05-27,103.6783407
2021-05-28,101.0488429
2021-05-29,95.69514201
2021-05-30,94.18366817
2021-05-31,98.09164544
2021-06-01,103.588355
2021-06-02,100.8865129
2021-06-03,100.8135974
2021-06-04,104.5372747
2021-06-05,99.18540665
2021-06-06,96.00219722
2021-06-07,98.94968773
2021-06-08,95.7828239
2021-06-09,95.04648983
2021-06-10,105.6538636
2021-06-11,102.8415135
2021-06-12,103.488472
2021-06-13,95.56338422
2021-06-14,103.2709395
2021-06-15,104.9459239
2021-06-16,103.7295693
2021-06-17,97.74832192
2021-06-18,98.7992609
2021-06-19,95.25141138
2021-06-20,96.90124471
2021-06-21,100.7770733
2021-06-22,92.30990594
2021-06-23,96.07552752
2021-06-24,100.0878897
2021-06-25,105.5357003
2021-06-26,95.90695814
2021-06-27,96.7508235
2021-06-28,103.4762275
2021-06-29,102.1341793
2021-06-30,104.2764031
2021-07-01,100.9306102
2021-07-02,97.06958882
2021-07-03,97.81895695
2021-07-04,100.4995201
2021-07-05,103.0672295
2021-07-06,98.1278301
2021-07-07,99.61322197
2021-07-08,99.67432537
2021-07-09,97.50548744
2021-07-10,100.4574256
2021-07-11,99.55670507
2021-07-12,102.1947002
2021-07-13,98.93126002
2021-07-14,98.30468426
2021-07-15,99.65891937
2021-07-16,98.34772968
2021-07-17,97.95758524
2021-07-18,98.94256372
2021-07-19,101.0486675
2021-07-20,99.23722628
2021-07-21,95.46067855
2021-07-22,102.4537326
2021-07-23,101.8276845
2021-07-24,103.6171029
2021-07-25,102.2687314
2021-07-26,102.3400354
2021-07-27,103.5625734
2021-07-28,105.9731418
2021-07-29,104.1011529
2021-07-30,100.5794779
2021-07-31,103.7921963
2021-08-01,101.698998
2021-08-02,98.27099379
2021-08-03,97.36591797
2021-08-04,96.15665621
2021-08-05,100.3918724
2021-08-06,101.7634734
2021-08-07,103.8913134
2021-08-08,105.233884
2021-08-09,100.253773
2021-08-10,103.7125113
2021-08-11,100.9298566
2021-08-12,100.9363129
2021-08-13,96.70654789
2021-08-14,103.7120685
2021-08-15,101.519295
2021-08-16,101.1747477
2021-08-17,98.72985522
2021-08-18,97.29529012
2021-08-19,97.57652307
2021-08-20,100.8886854
2021-08-21,105.1934832
2021-08-22,102.2002382
2021-08-23,101.0779361
2021-08-24,101.2226001
2021-08-25,97.62563188
2021-08-26,101.0459871
2021-08-27,96.80399571
2021-08-28,101.5700341
2021-08-29,100.7673616
2021-08-30,101.4062789
2021-08-31,97.55578105
2021-09-01,97.79815372
2021-09-02,101.1661187
2021-09-03,101.6580411
2021-09-04,101.9302743
2021-09-05,99.91642065
2021-09-06,102.0341598
2021-09-07,104.8311586
2021-09-08,94.70328656
2021-09-09,93.92353828
2021-09-10,97.96121863
2021-09-11,97.80707796
2021-09-12,98.86354013
2021-09-13,101.2232541
2021-09-14,98.50837575
2021-09-15,101.7250183
2021-09-16,102.8691174
2021-09-17,101.5182694
2021-09-18,99.06518723
2021-09-19,101.0799154
2021-09-20,101.2310883
2021-09-21,95.01536279
2021-09-22,91.34931428
2021-09-23,99.3314934
2021-09-24,104.479783
2021-09-25,99.7600723
2021-09-26,98.33067771
2021-09-27,100.1274722
2021-09-28,99.51391832
2021-09-29,97.4213069
2021-09-30,98.07503927
2021-10-01,101.0801936
2021-10-02,108.3112503
2021-10-03,103.9307494
2021-10-04,101.7356661
2021-10-05,100.4981307
2021-10-06,102.1963881
2021-10-07,107.2474335
2021-10-08,101.9895613
2021-10-09,100.0113456
2021-10-10,100.6922653
2021-10-11,99.517162
2021-10-12,103.75159
2021-10-13,99.8305973
2021-10-14,101.3582477
2021-10-15,98.92600045
2021-10-16,105.046151
2021-10-17,101.8998024
2021-10-18,101.436011
2021-10-19,99.96391038
2021-10-20,102.1276322
2021-10-21,104.419146
2021-10-22,98.73283576
2021-10-23,96.47823647
2021-10-24,98.59327432
2021-10-25,98.76824653
2021-10-26,102.8534244
2021-10-27,99.19448626
2021-10-28,96.34676984
2021-10-29,99.47109975
2021-10-30,102.5072715
