Date,VolumePerMarketcap
2020-07-04,10.424176114055514
2020-07-05,9.89174442941663
2020-07-06,10.34730403885699
2020-07-07,12.77305509529493
2020-07-08,11.111197000414384
2020-07-09,11.91454842383554
2020-07-10,11.445695070967224
2020-07-11,10.651031948967027
2020-07-12,9.499361220580356
2020-07-13,10.021913710421718
2020-07-14,10.70939125550006
2020-07-15,11.233259551496028
2020-07-16,9.758518694139491
2020-07-17,11.134031196684546
2020-07-18,9.777563164242563
2020-07-19,9.251796773976183
2020-07-20,9.47913066259809
2020-07-21,10.110511331237412
2020-07-22,11.586021375196925
2020-07-23,11.23477618710188
2020-07-24,15.25048341997817
2020-07-25,20.36265456069588
2020-07-26,20.54710089283516
2020-07-27,10.768430382173936
2020-07-28,17.159345328668813
2020-07-29,13.740181100239116
2020-07-30,11.534437514089948
