Date,Kimchi,,,,,
2020-09-06,1.39,,,,,
2020-09-07,0.4,,,,,
2020-09-08,0.59,,,,,
2020-09-09,0.44,,,,,
2020-09-10,0.31,,,,,
2020-09-11,-0.04,,,,,
2020-09-12,-0.34,,,,,
2020-09-13,0.79,,,,,
2020-09-14,0.22,,,,,
2020-09-15,0.61,,,,,
2020-09-16,0.38,,,,,
2020-09-17,-0.04,,,,,
2020-09-18,0.21,,,,,
2020-09-19,0.09,,,,,
2020-09-20,0.8,,,,,
2020-09-21,1.22,,,,,
2020-09-22,0.65,,,,,
2020-09-23,-0.33,,,,,
2020-09-24,-0.42,,,,,
2020-09-25,-0.86,,,,,
2020-09-26,-0.85,,,,,
2020-09-27,-1.2,,,,,
2020-09-28,-0.27,,,,,
2020-09-29,-0.52,,,,,
2020-09-30,0,,,,,
2020-10-01,0.7,,,,,
2020-10-02,0.84,,,,,
2020-10-03,0.73,,,,,
2020-10-04,0.12,,,,,
2020-10-05,0.36,,,,,
2020-10-06,0.54,,,,,
2020-10-07,0.53,,,,,
2020-10-08,-0.09,,,,,
2020-10-09,-0.1,,,,,
2020-10-10,-0.49,,,,,
2020-10-11,-0.58,,,,,
2020-10-12,-0.41,,,,,
2020-10-13,-0.05,,,,,
2020-10-14,0.38,,,,,
2020-10-15,0.34,,,,,
2020-10-16,0.81,,,,,
2020-10-17,0.65,,,,,
2020-10-18,0.48,,,,,
2020-10-19,0,,,,,
2020-10-20,0.59,,,,,
2020-10-21,-0.46,,,,,
2020-10-22,-0.96,,,,,
2020-10-23,-0.08,,,,,
2020-10-24,-0.24,,,,,
2020-10-25,-0.05,,,,,
2020-10-26,-0.2,,,,,
2020-10-27,-0.71,,,,,
2020-10-28,0.01,,,,,
2020-10-29,-0.04,,,,,
2020-10-30,-0.47,,,,,
2020-10-31,-0.34,,,,,
2020-11-01,-0.51,,,,,
2020-11-02,0.31,,,,,
2020-11-03,-0.03,,,,,
2020-11-04,0.03,,,,,
2020-11-05,-0.74,,,,,
2020-11-06,-0.49,,,,,
2020-11-07,0.2,,,,,
2020-11-08,-0.34,,,,,
2020-11-09,-0.3,,,,,
2020-11-10,-0.43,,,,,
2020-11-11,-0.24,,,,,
2020-11-12,-1.06,,,,,
2020-11-13,-0.56,,,,,
2020-11-14,-0.04,,,,,
2020-11-15,0.03,,,,,
2020-11-16,-1.29,,,,,
2020-11-17,-0.85,,,,,
2020-11-18,0.26,,,,,
2020-11-19,-0.13,,,,,
2020-11-20,-0.79,,,,,
2020-11-21,-2.32,,,,,
2020-11-22,-1.16,,,,,
2020-11-23,-1.63,,,,,
2020-11-24,-1.46,,,,,
2020-11-25,0.62,,,,,
2020-11-26,1.48,,,,,
2020-11-27,0.99,,,,,
2020-11-28,-0.51,,,,,
2020-11-29,-0.41,,,,,
2020-11-30,-2.5,,,,,
2020-12-01,0.56,,,,,
2020-12-02,-0.2,,,,,
2020-12-03,-0.2,,,,,
2020-12-04,1.54,,,,,
2020-12-05,0.18,,,,,
2020-12-06,-0.1,,,,,
2020-12-07,0.42,,,,,
2020-12-08,0.74,,,,,
2020-12-09,0.58,,,,,
2020-12-10,0.55,,,,,
2020-12-11,-0.16,,,,,
2020-12-12,0.19,,,,,
2020-12-13,-0.72,,,,,
2020-12-14,-0.6,,,,,
2020-12-15,-0.35,,,,,
2020-12-16,-1.71,,,,,
2020-12-17,-0.92,,,,,
2020-12-18,-1,,,,,
