Date,hash-rate
2021-11-17,166075887.626255
2021-11-18,167149669.975686
2021-11-19,166034035.617046
2021-11-20,166252273.22847
2021-11-21,166066724.209918
2021-11-22,162307875.212228
2021-11-23,160697678.037503
2021-11-24,157799323.122999
2021-11-25,159087480.862779
2021-11-26,156833204.818164
2021-11-27,156028106.230802
2021-11-28,155706066.795857
2021-11-29,156626480.749367
2021-11-30,156604781.325731
2021-12-01,156604715.816271
2021-12-02,153055005.217691
2021-12-03,156707914.077019
2021-12-04,162100790.8414
2021-12-05,163660443.373586
2021-12-06,167815674.285996
2021-12-07,172415536.813684
2021-12-08,175587855.798297
2021-12-09,180504950.224446
2021-12-10,181773877.818291
2021-12-11,179870486.427523
2021-12-12,180450982.450052
2021-12-13,178175819.669221
2021-12-14,175120783.227231
2021-12-15,176123588.110964
2021-12-16,173703015.465896
2021-12-17,167608149.67714
2021-12-18,168465544.696637
2021-12-19,165292796.924118
2021-12-20,166839195.23214
2021-12-21,167354661.334814
2021-12-22,169588347.779735
2021-12-23,170791102.019307
2021-12-24,177148517.28562
2021-12-25,177492161.354069
2021-12-26,180806021.942672
2021-12-27,178302007.204157
2021-12-28,179070270.972984
2021-12-29,174504391.823773
2021-12-30,174068259.955084
2021-12-31,168463241.610802
